provincia,cantón,cargo,gana,partido_num,partido
Santo Domingo de los Tsáchilas,Santo Domingo de los Colorados,Alcaldía,Wilson Erazo,20-100,Movimiento Democracia Si - Construir
Santo Domingo de los Tsáchilas,La Concordia,Alcaldía,David Álava,63-6,Positivo - Partido Social Cristiano
Sucumbíos,Sucumbíos,Prefectura,Amado Chávez,23,Movimiento SUMA
Sucumbíos,Lago Agrio (Nueva Loja),Alcaldía,Abraham Freire Paz,23,Movimiento SUMA - Acuerdo Ciudadano
Sucumbíos,Cascales,Alcaldía,Silvio Quevedo,23,Movimiento SUMA
Sucumbíos,Cuyabeno (Tarapoa),Alcaldía,Nelson Yaguachi,20,Democracia Si
Sucumbíos,Gonzalo Pizarro (Lumbaquí),Alcaldía,Segundo Jaramillo,3,Partido Sociedad Patriótica
Sucumbíos,Putumayo (Puerto El Carmen),Alcaldía,Segundo Londoño Flores,61,Mushuk Inti
Sucumbíos,Shushufindi (Shushufindi Central),Alcaldía,Esperanza Torres,23,Movimiento SUMA
Sucumbíos,Sucumbíos (La Bonita),Alcaldía,Henry Mejia,35-61,Alianza PAIS - Mushuk Inti
Tungurahua,Tungurahua,Prefectura,Manuel Caizabanda,18,Pachakutik
Tungurahua,Ambato,Alcaldía,Javier Altamirano,12-63,Izquierda Democrática - Solidariamente
Tungurahua,Baños,Alcaldía,Luis Silva Luna,8,Avanza
Tungurahua,Cevallos,Alcaldía,Luis Barona Ledesma,21-62,Movimiento CREO - Movimiento Cívico por Ambato y Tungurahua
Tungurahua,Mocha,Alcaldía,Danilo Ortiz,1-35-20,Centro Democrático - Alianza PAIS - Democracia Si
Tungurahua,Patate,Alcaldía,Bolivar Punguil,8,Avanza
Tungurahua,Pelileo,Alcaldía,Leonardo Maroto,23,Movimiento SUMA
Tungurahua,Píllaro,Alcaldía,Francisco Yanchatipan,103,Fuerza Pillareño
Tungurahua,Quero,Alcaldía,Jose Morales Jaya,23,Movimiento SUMA
Tungurahua,Tisaleo,Alcaldía,Víctor Zumba,6-61,Partido Social Cristiano - Tiempo de Cambio
Zamora Chinchipe,Zamora Chinchipe,Prefectura,Cléver Jiménez,33-2-20-4-17,Juntos Podemos - Unidad Popular - Democracia Si Ecuatoriano Unido - Partido Socialista Ecuatoriano
Zamora Chinchipe,Zamora,Alcaldía,Victor Gonzalez Salinas,21,Movimiento CREO
Zamora Chinchipe,Centinela del Cóndor (Zumbi),Alcaldía,Luis Merino Gonzalez,33-2-20-4-17,Juntos Podemos - Unidad Popular - Democracia Si Ecuatoriano Unido - Partido Socialista Ecuatoriano
Zamora Chinchipe,Chinchipe (Zumba),Alcaldía,Alberto Jaramillo Nuñez,63-23-35,MAS - Movimiento SUMA - Alianza PAIS
Zamora Chinchipe,El Pangui,Alcaldía,Carlos Punin,18,Pachakutik
Zamora Chinchipe,Nangaritza (Guayzimi),Alcaldía,Fredy Armijos Perez,63-23-35,MAS - Movimiento SUMA - Alianza PAIS
Zamora Chinchipe,Palanda,Alcaldía,Segundo Mejia,33-2-20-4-17,Juntos Podemos - Unidad Popular - Democracia Si Ecuatoriano Unido - Partido Socialista Ecuatoriano
Zamora Chinchipe,Paquisha,Alcaldía,Angel Calva,33-2-20-4-17,Juntos Podemos - Unidad Popular - Democracia Si Ecuatoriano Unido - Partido Socialista Ecuatoriano
Zamora Chinchipe,Yacuambi,Alcaldía,Victor Gualan Chalan,18,Pachakutik
Zamora Chinchipe,Yantzaza,Alcaldía,Martin Jimenez,18,Pachakutik
