provincia,canton,pobtot,otra,blanca,indígena,mestiza,montubia,mulata,afroec,rural,escolaridad,analf,NBI,agua,elec,basura,pea,ocupada,publico,provincia_elec,canton_elec,cargo,gana,partido_num,partido
TUNGURAHUA,MOCHA,6777,0.191825291426885,2.22812453888151,0.575475874280655,96.1487383798141,0.472185332743102,0.147557916482219,0.236092666371551,82.16024789729968,7.4513184584,6.1620764811,68.7583247,48.417880462,97.036664992,63.083877449,3020,2980,120,Tungurahua,Mocha,Alcaldía,Danilo Ortiz,1-35-20,Centro Democrático - Alianza PAIS - Democracia Si
TUNGURAHUA,PATATE,13497,0,2.94139438393717,5.71238052900645,89.8199599911091,0.177817292731718,0.437134177965474,0.83722308661184,83.98903460028154,7.3971885336,9.1073904234,73.860340596,38.341543514,93.869731801,53.530377668,6525,6446,344,Tungurahua,Patate,Alcaldía,Bolivar Punguil,8,Avanza
TUNGURAHUA,QUERO,19205,0,1.12991408487373,0.989325696433221,96.8706066128612,0.218693048685238,0.151002343139807,0.583181463160635,86.05050768029159,6.5550927679,9.9147434955,84.46683021,28.019504876,94.223555889,19.91747937,9287,9186,290,Tungurahua,Pelileo,Alcaldía,Leonardo Maroto,23,Movimiento SUMA
TUNGURAHUA,SAN PEDRO DE PELILEO,56573,0,1.90373499726018,12.580206105386,84.4413412758737,0.348222650380924,0.1714598836901,0.502006257401941,82.14165768122602,7.2199755733,8.658138201,75.754941272,33.259527644,95.853462158,54.951690821,27620,27256,1341,Tungurahua,Píllaro,Alcaldía,Francisco Yanchatipan,103,Fuerza Pillareño
TUNGURAHUA,SANTIAGO DE PÍLLARO,38357,0,2.5262663920536,5.13856662408426,90.9090909090909,0.185103110253669,0.177281852073937,0.975050186406653,80.59285137002372,7.0131219245,11.191050038,71.033490319,43.486572599,95.666818389,54.264906691,17502,17101,1302,Tungurahua,Quero,Alcaldía,Jose Morales Jaya,23,Movimiento SUMA
TUNGURAHUA,TISALEO,12137,0,1.66433220729999,1.35947927824009,96.2264150943396,0.222460245530197,0.131828293647524,0.337810002471781,89.54436846008075,7.0154498637,7.2820512821,80.440339738,32.310962648,96.598846037,45.9155785,6098,6023,172,Tungurahua,Tisaleo,Alcaldía,Víctor Zumba,6-61,Partido Social Cristiano - Tiempo de Cambio
ZAMORA CHINCHIPE,CENTINELA DEL CÓNDOR,6479,0.216082728816175,1.28106189226733,9.49220558728199,87.2974224417348,0.185213767556722,0.185213767556722,1.34279981478623,65.53480475382003,7.9901408451,5.8483935743,74.418604651,43.321299639,90.902527076,62.166064982,2377,2279,334,Zamora Chinchipe,Centinela del Cóndor (Zumbi),Alcaldía,Luis Merino Gonzalez,33-2-20-4-17,Juntos Podemos - Unidad Popular - Democracia Si Ecuatoriano Unido - Partido Socialista Ecuatoriano
ZAMORA CHINCHIPE,CHINCHIPE,9119,0,2.75249479109551,0.394780129400154,94.9884855795592,0.285118982344555,0.460576817633512,1.05274701173374,65.31417918631429,8.6880146386,4.5778938207,80.49665495,30.545286506,86.321626617,42.467652495,3656,3557,832,Zamora Chinchipe,Chinchipe (Zumba),Alcaldía,Alberto Jaramillo Nuñez,63-23-35,MAS - Movimiento SUMA - Alianza PAIS
ZAMORA CHINCHIPE,EL PANGUI,8619,0.707738716788491,2.25084116486831,21.4061956143404,74.0573152337858,0.243647754959972,0.382875043508528,0.951386471748463,64.21858684302123,7.6798780488,7.9158316633,75.421462621,42.319587629,85.154639175,58.195876289,3147,3060,369,Zamora Chinchipe,El Pangui,Alcaldía,Carlos Punin,18,Pachakutik
ZAMORA CHINCHIPE,NANGARITZA,5196,0.808314087759815,2.11701308698999,34.8729792147806,61.1239414934565,0,0.134719014626636,0.846805234795997,65.91608929946112,7.6130434783,7.5966850829,77.356299594,37.304347826,80.086956522,57.739130435,1917,1876,246,Zamora Chinchipe,Nangaritza (Guayzimi),Alcaldía,Fredy Armijos Perez,63-23-35,MAS - Movimiento SUMA - Alianza PAIS
ZAMORA CHINCHIPE,PALANDA,8089,0,1.52058350846829,0,97.5151440227469,0.13598714303375,0.148349610582272,0.581035974780566,75.28742737050315,7.9073251942,5.0751879699,84.619207355,29.915966387,89.859943978,35.966386555,3018,2956,285,Zamora Chinchipe,Palanda,Alcaldía,Segundo Mejia,33-2-20-4-17,Juntos Podemos - Unidad Popular - Democracia Si Ecuatoriano Unido - Partido Socialista Ecuatoriano
ZAMORA CHINCHIPE,PAQUISHA,3854,0.155682407887909,1.50492994291645,29.7872340425532,66.554229372081,0.103788271925272,0.41515308770109,1.47898287493513,73.97509081473792,8.0740305523,4.6391752577,89.718162839,20.259128386,75.147232038,68.551236749,1613,1573,194,Zamora Chinchipe,Paquisha,Alcaldía,Angel Calva,33-2-20-4-17,Juntos Podemos - Unidad Popular - Democracia Si Ecuatoriano Unido - Partido Socialista Ecuatoriano
ZAMORA CHINCHIPE,YACUAMBI,5835,0.239931448157669,0.856898029134533,71.7052270779777,27.0779777206512,0.102827763496144,0,0,77.29220222793488,7.1846032993,10.249391727,89.890147614,22.049689441,71.040372671,45.729813665,2329,2281,283,Zamora Chinchipe,Yacuambi,Alcaldía,Victor Gualan Chalan,18,Pachakutik
ZAMORA CHINCHIPE,YANTZAZA,18675,0.599732262382865,2.16331994645248,12.7068273092369,82.0562248995984,0.251673360107095,0.417670682730924,1.8045515394913,50.741633199464516,8.4920486436,5.5093281948,73.304324177,45.881248533,92.208401784,65.50105609,7227,6971,931,Zamora Chinchipe,Yantzaza,Alcaldía,Martin Jimenez,18,Pachakutik
ZAMORA CHINCHIPE,ZAMORA,25510,0.239121912975304,2.49313994511956,8.63190905527244,86.8796550372403,0.305762446099569,0.337122696981576,1.11328890631125,51.446491571932576,9.7507762706,4.0749747909,60.524915039,55.054356644,93.947752718,77.137757586,10757,10344,3129,Zamora Chinchipe,Zamora,Alcaldía,Victor Gonzalez Salinas,21,Movimiento CREO
